;author;year;avgsentlen
FRA01102;Dombre;1889;20.94417643004824
FRA05801;Mille;1912;19.02410025706941
FRA00701;Carraud;1852;22.920664206642066
FRA01201;Feval;1868;18.868347987043034
FRA05602;Lesueur;1904;16.462822559191274
FRA00302;Aimard;1894;17.944590474187784
FRA04102;Erckmann;1863;23.371390194761585
FRA00503;Balzac;1854;26.21495789995047
FRA03601;Proust;1913;42.42168925964546
FRA03201;Blandy;1887;24.487152867895148
FRA00101;Adam;1860;18.941265060240966
FRA01403;Fleuriot;1881;17.985925085130532
FRA02602;Malot;1878;22.614556482183474
FRA01203;Feval;1845;17.693352919574
FRA05101;Eekhoud;1904;20.694065610025802
FRA05501;Lermina;1910;22.637896427137697
FRA04202;Rolland;1912;19.560526241654223
FRA07501;Darien;1897;18.636439267886857
FRA04401;Barbusse;1916;18.52944909875603
FRA06801;Vaillant;1861;18.935174871909112
FRA06101;Sandeau;1848;26.98335854765507
FRA00901;Daudet;1867;19.26919552867876
FRA02601;Malot;1869;25.992228784581908
FRA00102;Adam;1883;20.452395391146148
FRA03704;Sand;1840;25.857238158772514
FRA02702;Maupassant;1883;22.330578512396695
FRA02501;Loti;1883;24.516685520361992
FRA00601;Boisgobey;1881;17.04851500544239
FRA05201;Feuillet;1856;24.239921976592978
FRA01603;GautierJ;1900;20.984247374562425
FRA01701;GautierT;1847;29.93421052631579
FRA00401;Allais;1902;18.80203841630733
FRA01801;Gay;1844;29.38707026434735
FRA00501;Balzac;1853;22.603544776119403
FRA06701;Uchard;1882;18.75844679778114
FRA01401;Fleuriot;1877;16.791187739463602
FRA01101;Dombre;1890;19.874357326478147
FRA04901;Dumas;1845;18.26571709233792
FRA01202;Feval;1857;14.978874070577127
FRA01501;France;1912;22.836056644880173
FRA02901;Noailles;1903;24.6680358476475
FRA02302;Greville;1878;24.413793103448278
FRA05401;Kock;1849;21.418403391027905
FRA01601;GautierJ;1887;19.11351186853317
FRA02701;Maupassant;1885;16.703878082022054
FRA06401;Chandeneux;1876;18.356729656768223
FRA06201;Viel-Castel;1845;31.99171270718232
FRA01301;Flaubert;1869;16.22384363668524
FRA06501;Gyp;1897;15.73270013568521
FRA03903;Stolz;1878;18.704679268670592
FRA07201;Montagne;1886;24.241559086395235
FRA03802;Stern;1846;26.728841686027216
FRA00602;Boisgobey;1886;18.199328961415283
FRA03002;Ohnet;1890;18.669106881405565
FRA01602;GautierJ;1893;21.423988842398884
FRA03302;Rattazzi;1865;19.69854227405248
FRA03701;Sand;1872;23.229285573705962
FRA07301;Valgand;1853;19.45044746436858
FRA07001;Mendes;1892;29.104669887278583
FRA02303;Greville;1878;20.686967910936477
FRA02401;LeRouge;1904;20.791960507757405
FRA00201;Audoux;1925;19.70854271356784
FRA04701;Bourget;1919;18.420162805259864
FRA02301;Greville;1888;22.700472440944882
FRA02603;Malot;1888;27.433318853171155
FRA02202;Gouraud;1867;18.620602103735944
FRA02203;Gouraud;1876;19.03829634931997
FRA01402;Fleuriot;1874;23.6005291005291
FRA02001;Gilbert;1912;18.734234234234233
FRA01302;Flaubert;1857;19.8860002780481
FRA06601;Peladan;1902;20.04022727272727
FRA00801;Dash;1843;15.981393975191967
FRA04801;Corday;1909;14.774046869534802
FRA06901;Vignon;1879;19.30259222333001
FRA00502;Balzac;1851-1853;22.50373069581815
FRA03101;Ponson;1852;18.391134289439375
FRA01902;Gaboriau;1869;18.300825975505553
FRA04001;Verne;1878;18.177747625508818
FRA07601;Leroux;1913;18.09483340078241
FRA03401;Reybaud;1855;25.33754116355653
FRA02101;Girardin;1854;23.209953766657602
FRA05901;Moselly;1907;22.819002256204563
FRA04301;Achard;1847;18.369789872545642
FRA05301;Galopin;1906;22.01678478179784
FRA03001;Ohnet;1885;19.087699635752312
FRA04002;Verne;1898;19.408861135890575
FRA03702;Sand;1867;21.57407793290269
FRA04501;Barres;1908;23.52288845905867
FRA06001;Rebell;1902;19.235063367531684
FRA00301;Aimard;1858;22.90984126984127
FRA02802;Mirbeau;1883;16.41317365269461
FRA01002;DelarueMardrus;1919;15.057945254177035
FRA01303;Flaubert;1862;21.765507600908613
FRA04601;Bazin;1907;19.046579580611894
FRA02201;Gouraud;1888;20.765892653216596
FRA07401;Leblanc;1910;13.994739359158297
FRA07101;Blondel;1856;19.98429102935097
FRA05702;Maquet;1857;17.414686117029994
FRA03003;Ohnet;1894;16.09396876682822
FRA06301;Montepin;1884;13.146238558352403
