;author;title;year;avgsentlen
PG1900;Herman+Melville;Typee+Romance;1865;37.58163811563169
PG1652;Jules+Verne;Survivors+Chancellor;1875;28.891833188531713
PG25966;Edward+Ellis;Camp+fire;1888;30.06256206554121
PG26080;Henry+Dodge;Skinner+Dress;1907;16.950237992211164
PG28741;Emerson+Hough;Young+Alaskans;1914;22.556259503294477
PG17308;William+Black;Sunrise;1880;20.927835958813695
PG17780;George+Eliot;Scenes+Clerical;1860;31.367278235987207
PG40385;Miriam+Harris;Rutledge;1866;29.39359802170628
PG36511;Fred+White;Weight+Crown;1907;16.191798941798943
PG43446;William+Black;White+Heather;1880;29.44701986754967
PG35847;Joseph+Scheffel;Ekkehard+Tale;1872;25.694204372140316
PG54073;Luis+Senarens;Frank+Reade;1893;12.520251396648044
PG55726;Paul+Bourget;Blue+Duchess;1898;23.49194547707559
PG36160;Julia+Kavanagh;Rachel+Gray;1856;23.348425893172976
PG4235;Charlotte+Yonge;Dynevor+Terrace;1857;24.270337148159605
PG13922;Jonas+Lie;Visionary+Pictures;1894;38.3479674796748
PG18449;Marie+Corelli;Treasure+Heaven;1906;22.51210753129489
PG23517;George+Martin;Angel+Tenement;1897;31.92105263157895
PG21493;William+Kingston;Twice+Lost;1857;31.989016602809706
PG6806;Amelia+Barr;Hallam+Succession;1855;20.562021122385588
PG10093;George+MacDonald;Gutta+Percha;1887;26.282571912013537
PG39200;Sidney+Lanier;English+Novel;1872;42.72945819878005
PG41857;Worthington;Broken+Sword;1901;29.370298471244844
PG2389;Rafael+Sabatini;Bardelys+Magnificent;1905;20.75939065108514
PG23073;William+Kingston;Villegagnon+Tale;1857;29.2519801980198
PG57885;William+Queux;Tickencote+Treasure;1903;23.06153846153846
PG52449;Willis+Emerson;Buell+Hampton;1857;22.167539267015705
PG19288;George+Townsend;Bohemian+Days;1880;21.498667958343425
PG22744;Bessie+Marchant;Adventurous+Seven;1900;34.737640724424864
PG49484;James+Tait;Friend+Pasquale;1892;32.890940317732934
PG15684;Amerel;Summer+Holidays;1850;21.70856102003643
PG48190;Harriet+Stowe;Poganuc+People;1878;28.824700109051253
PG21489;Jules+Verne;Secret+Island;1876;22.135465418616743
PG18654;Frank+Stockton;What+Might;1878;21.062381852551987
PG35291;Robinson;Mattie+Stray;1864;24.10013046314416
PG24903;Nell+Speed;Molly+Brown;1912;19.279744816586923
PG8649;Rudyard+Kipling;Indian+Tales;1890;23.048590766744116
PG1895;Wilkie+Collins;Armadale;1866;22.608575947513327
PG53339;John+Powys;Rodmoor+Romance;1916;21.795274551214362
PG15956;Forrest;Vellenaux+Novel;1874;41.416666666666664
PG41302;Trowbridge;Letters+Mother;1901;33.822082018927446
PG32560;Charles+Lever;Gerald+Fitzgerald;1861;27.359845674432407
PG19989;Annie+Slosson;Story+Tell;1900;25.668662674650697
PG44306;Meadows+Taylor;Noble+Queen;1852;25.998651927743328
PG15486;Frances+Baden;Edna+Sacrifice;1890;17.886291179596174
PG40386;Marion+Crawford;Wandering+Ghosts;1892;24.86229792147806
PG786;Charles+Dickens;Hard+Times;1851;23.894058577405858
PG18714;Montague+Glass;Mawruss+Being;1911;18.92770105605199
PG3696;Charlotte+Yonge;Prince+Page;1867;28.14910600255428
PG35957;Ross+Kay;Ahead+Boys;1916;15.293063731763501
PG38413;Israel+Zangwill;King+Schnorrers;1894;17.649752152361074
PG839;Robert+Stevenson;Arabian+Nights;1882;24.05153329704228
PG2775;Ford+Ford;Good+Soldier;1916;23.476057765391438
PG54961;Bowen;Farthing+Made;1864;16.1776
PG22666;Holman+Day;Rainy+Railroad;1906;20.617860016090106
PG35849;Fritz+Reuter;Story+Farming;1852;35.80584192439863
PG56510;Richard+Barnum;Slicko+Jumping;1915;16.282587064676616
PG48482;Dinah+Craik;Life+Life;1859;24.160726525017136
PG23786;Amanda+Douglas;Little+Girl;1884;17.671275327771156
PG18531;Kate+Wiggin;Timothy+Quest;1890;30.361241217798593
PG21993;George+Sand;Devil+Pool;1850;24.679493670886075
PG23695;Francis+Smith;Little+Gray;1886;23.514388489208635
PG8188;Louisa+Alcott;Mysterious+What;1870;23.260986547085203
PG25893;Julia+Schwartz;Beatrice+Leigh;1907;17.206611570247933
PG60229;John+Bloxam;Priest+Acolyte;1894;24.540682414698164
PG17615;Ernest+Glanville;Search+Okapi;1904;20.24185692541857
PG10959;Elinor+Glyn;Visits+Elizabeth;1909;30.76277523888658
PG16969;Couch+Quiller;Dick+Brownie;1900;23.196652719665273
PG15187;Marion+Crawford;Children+King;1892;20.864633493846977
PG15244;Sarah+Bradford;Lewie+Bended;1853;32.36999578592499
PG23989;Jacob+Abbott;Caleb+Country;1851;23.182031708749268
PG59347;Priscilla+Craven;Circe+Daughter;1913;17.177628531727652
PG20991;Talbot+Reed;Follow+Leader;1882;21.15687471387151
PG26593;Harold+MacGrath;Place+Honeymoons;1912;14.627262225644975
PG5557;Georg+Ebers;Margery+Gred;1889;41.44386873920553
PG17146;Louise+Pyrnelle;Diddie+Dumps;1888;36.02336448598131
PG8778;William+Morris;Water+Wondrous;1875;41.06169045005488
PG43114;Bryden;Gold+Kloof;1907;23.458758314855874
PG40278;Knight;Threatening;1898;20.47554734148422
PG39847;Flora+Steel;Tideway;1897;18.229957805907173
PG65407;Paul+Bourget;Love+Crime;1869;24.71988246816846
PG34104;Paul+Heyse;Four+Phases;1857;22.065478355765734
PG580;Charles+Dickens;Pickwick+Papers;1851;25.308707284446065
PG36725;Wilhelmine+Hillern;Cross+Romance;1886;20.764667352858613
PG8168;François+Rabelais;Gargantua+Pantagruel;1873;35.51586522734707
PG706;Hornung;Amateur+Cracksman;1904;19.4951113525258
PG45618;Edward+Wheeler;Deadwood+Dick;1880;16.113615455381783
PG5901;Frank+Pinkerton;Dyke+Darrel;1886;17.012911843276935
PG30125;Marah+Ryan;Flute+Gods;1909;27.359494222803576
PG21478;William+Kingston;Snow+Shoes;1876;27.522308546059932
PG2715;Henry+James;Real+Thing;1890;26.861510791366907
PG4469;George+Meredith;Diana+Crossways;1885;21.101380042462846
PG12129;Jacobs;Mixed+Proposal;1913;18.90877192982456
PG24909;George+Fenn;Golden+Magnet;1884;28.68801384681956
PG55080;John+Habberton;Worst+Town;1880;35.182114882506525
PG24268;Mayne+Reid;Desert+Home;1852;27.331994645247658
PG26277;Josephine+Bacon;Margarita+Soul;1909;27.23222958057395
PG62378;William+Russell;Heart+Three;1888;27.742284786139685
PG2433;George+MacDonald;Donal+Grant;1883;22.634524361948955
PG51076;Phillips+Oppenheim;Aaron+Rodd;1900;16.587689393939392
PG54572;Nelson+Lloyd;Chronic+Loafer;1913;19.920207509881422
PG4954;Lyman+Abbott;Laicus+Experiences;1872;18.372494071998275
PG45324;Margaret+Westrup;Young+Briens;1906;14.648457093010578
