id;title;author;year-birth;year-death;year-worldcat;year-ref;language;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG34256;The Supply at Saint Agatha's;Phelps, Elizabeth Stuart;1844.0;1911.0;1897.0;1897;['en'];14;{'Clergy -- Fiction', 'Churches -- Fiction', 'Short stories'};Elizabeth+Phelps;Supply+Saint;https://www.worldcat.org/search?q=Elizabeth+Phelps+Supply+Saint&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG48389;Six Girls and the Tea Room;Taggart, Marion Ames;1866.0;1945.0;1907.0;1907;['en'];23;{'Sisters -- Juvenile fiction', 'Tearooms -- Juvenile fiction', 'Girls -- Social life and customs -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Families -- Juvenile fiction'};Marion+Taggart;Girls+Room;https://www.worldcat.org/search?q=Marion+Taggart+Girls+Room&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG30352;Santa Fé's Partner: Being Some Memorials of Events in a New-Mexican Track-end Town;Janvier, Thomas A. (Thomas Allibone);1849.0;1913.0;2012.0;1891;['en'];4;{'Short stories', 'New Mexico -- Fiction'};Thomas+Janvier;Santa+Partner;https://www.worldcat.org/search?q=Thomas+Janvier+Santa+Partner&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG973;Howard Pyle's Book of Pirates: Fiction, Fact & Fancy Concerning the Buccaneers & Marooners of the Spanish Main;Pyle, Howard;1853.0;1911.0;2011.0;1892;['en'];38;{'Sea stories, American', 'Historical fiction, American', 'Pirates -- Fiction', 'Spanish Main -- Fiction', 'Buccaneers -- Fiction'};Howard+Pyle;Howard+Pyle;https://www.worldcat.org/search?q=Howard+Pyle+Howard+Pyle&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG61194;Maid Marian, and Other Stories;Seawell, Molly Elliot;1860.0;1916.0;1891.0;1891;['en'];14;{'Short stories, American', 'Manners and customs -- Fiction'};Molly+Seawell;Maid+Marian;https://www.worldcat.org/search?q=Molly+Seawell+Maid+Marian&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53727;Azalea: The Story of a Little Girl in the Blue Ridge Mountains;Peattie, Elia Wilkinson;1862.0;1935.0;1908.0;1908;['en'];5;{'Blue Ridge Mountains -- Juvenile fiction', 'Girls -- Juvenile fiction', 'North Carolina -- Juvenile fiction'};Elia+Peattie;Azalea+Story;https://www.worldcat.org/search?q=Elia+Peattie+Azalea+Story&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21230;Susan: A Story for Children;Walton, Amy;1848.0;1899.0;2011.0;1884;['en'];3;{'Friendship -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'};Amy+Walton;Susan+Story;https://www.worldcat.org/search?q=Amy+Walton+Susan+Story&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6251;Michel and Angele [A Ladder of Swords] — Volume 2;Parker, Gilbert;1862.0;1932.0;1912.0;1912;['en'];4;{'Jersey (Channel Islands) -- Fiction', 'Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction', 'Huguenots -- Fiction'};Gilbert+Parker;Michel+Angele;https://www.worldcat.org/search?q=Gilbert+Parker+Michel+Angele&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53996;Where Love Is;Locke, William John;1863.0;1930.0;2010.0;1906;['en'];4;{'England -- Fiction', 'Man-woman relationships -- Fiction'};William+Locke;Where+Love;https://www.worldcat.org/search?q=William+Locke+Where+Love&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG23552;The Phantom Of Bogue Holauba: 1911;Murfree, Mary Noailles;1850.0;1922.0;1912.0;1912;['en'];9;{'Short stories', 'Ghost stories', 'Mississippi River -- Fiction'};Mary+Murfree;Phantom+Bogue;https://www.worldcat.org/search?q=Mary+Murfree+Phantom+Bogue&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
