id;title;author;gender;year-birth;year-death;year-worldcat;year-ref;language;translation;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG16112;Edward Barnett, a Neglected Child of South Carolina, Who Rose to Be a Peer of Great Britain,—and the Stormy Life of His Grandfather, Captain Williams: or, The Earl's Victims: with an Account of the Terrible End of the Proud Earl De Montford, the Lamentable Fate of the Victim of His Passion, and the Shadow's Punishment;Aconite, Tobias;;;;1855.0;1855;['en'];;20;{'Fiction'};Tobias+Aconite;Edward+Barnett;https://www.worldcat.org/search?q=Tobias+Aconite+Edward+Barnett&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21479;The South Sea Whaler;Kingston, William Henry Giles;;1814.0;1880.0;1859.0;1859;['en'];;23;{'Whaling -- Juvenile fiction', 'Oceania -- Juvenile fiction', 'Ship captains -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Shipwrecks -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Natural history -- Juvenile fiction'};William+Kingston;South+Whaler;https://www.worldcat.org/search?q=William+Kingston+South+Whaler&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4644;The Adventures of Mr. Verdant Green;Bede, Cuthbert;;1827.0;1889.0;1853.0;1853;['en'];;134;{'University of Oxford -- Fiction'};Cuthbert+Bede;Adventures+Verdant;https://www.worldcat.org/search?q=Cuthbert+Bede+Adventures+Verdant&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21493;Twice Lost;Kingston, William Henry Giles;;1814.0;1880.0;2005.0;1857;['en'];;12;{'Adventure stories', 'Australia -- Fiction', 'Shipwrecks -- Fiction'};William+Kingston;Twice+Lost;https://www.worldcat.org/search?q=William+Kingston+Twice+Lost&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG28671;The Adventures of a Bear, and a Great Bear Too;Elwes, Alfred;;;1888.0;1853.0;1853;['en'];;10;{'Bears -- Juvenile fiction'};Alfred+Elwes;Adventures+Bear;https://www.worldcat.org/search?q=Alfred+Elwes+Adventures+Bear&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG32241;Dickens' Stories About Children Every Child Can Read;Dickens, Charles;;1812.0;1870.0;2009.0;1851;['en'];;94;"{""Children's stories, English"", 'Children -- Juvenile fiction'}";Charles+Dickens;Dickens+Stories;https://www.worldcat.org/search?q=Charles+Dickens+Dickens+Stories&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4618;Words for the Wise;Arthur, T. S. (Timothy Shay);;1809.0;1885.0;2013.0;1857;['en'];;10;{'Conduct of life -- Fiction'};Arthur;Words+Wise;https://www.worldcat.org/search?q=Arthur+Words+Wise&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG50078;The Forlorn Hope: A Tale of Old Chelsea;Hall, S. C., Mrs.;;1800.0;1881.0;1787.0;1850;['en'];;6;{'Chelsea (London, England) -- Fiction'};Mrs+Hall;Forlorn+Hope;https://www.worldcat.org/search?q=Mrs+Hall+Forlorn+Hope&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG15289;The Truce of God: A Tale of the Eleventh Century;Miles, George Henry;;1824.0;1871.0;1871.0;1858;['en'];;9;{'Catholics -- Fiction', 'Holy Roman Empire -- History -- Henry IV, 1056-1106 -- Fiction', 'Germany -- History -- Henry IV, 1056-1106 -- Fiction'};George+Miles;Truce+Tale;https://www.worldcat.org/search?q=George+Miles+Truce+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG14382;The Missing Bride;Southworth, Emma Dorothy Eliza Nevitte;;1819.0;1899.0;1855.0;1855;['en'];;38;{'Fiction'};Emma+Southworth;Missing+Bride;https://www.worldcat.org/search?q=Emma+Southworth+Missing+Bride&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
