id;title;author;gender;year-birth;year-death;year-worldcat;year-ref;language;translation;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG9773;Alice, or the Mysteries — Book 11;Lytton, Edward Bulwer Lytton, Baron;;1803.0;1873.0;1800.0;1848;['en'];;21;{'English fiction -- 19th century'};Edward+Lytton;Alice+Mysteries;https://www.worldcat.org/search?q=Edward+Lytton+Alice+Mysteries&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33801;The Mysteries of Paris, illustrated with etchings, Vol. 2;Sue, Eugène;;1804.0;1857.0;1844.0;1844;['en'];1.0;14;{'Paris (France) -- Fiction'};Eugène+Sue;Mysteries+Paris;https://www.worldcat.org/search?q=Eugène+Sue+Mysteries+Paris&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG48938;"Ada, the Betrayed; Or, The Murder at the Old Smithy. A Romance of Passion";Rymer, James Malcolm;;;1884.0;1842.0;1842;['en'];;32;{'English fiction -- 19th century'};James+Rymer;Betrayed+Murder;https://www.worldcat.org/search?q=James+Rymer+Betrayed+Murder&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4956;"The Duke's Prize; a Story of Art and Heart in Florence";Ballou, Maturin M. (Maturin Murray);;1820.0;1895.0;1848.0;1848;['en'];;27;{'Florence (Italy) -- Fiction'};Maturin+Ballou;Duke+Prize;https://www.worldcat.org/search?q=Maturin+Ballou+Duke+Prize&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7822;"The Attaché; or, Sam Slick in England — Volume 02";Haliburton, Thomas Chandler;;1796.0;1865.0;1843.0;1843;['en'];;9;{'Humorous stories, Canadian', 'Slick, Sam (Fictitious character) -- Fiction', 'Canada -- Social life and customs -- Fiction', 'Canadians -- England -- Fiction'};Thomas+Haliburton;Attaché+Slick;https://www.worldcat.org/search?q=Thomas+Haliburton+Attaché+Slick&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33800;The Mysteries of Paris, illustrated with etchings, Vol. 1;Sue, Eugène;;1804.0;1857.0;1844.0;1844;['en'];1.0;210;{'Paris (France) -- Fiction'};Eugène+Sue;Mysteries+Paris;https://www.worldcat.org/search?q=Eugène+Sue+Mysteries+Paris&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG9764;Alice, or the Mysteries — Book 02;Lytton, Edward Bulwer Lytton, Baron;;1803.0;1873.0;1800.0;1848;['en'];;25;{'English fiction -- 19th century'};Edward+Lytton;Alice+Mysteries;https://www.worldcat.org/search?q=Edward+Lytton+Alice+Mysteries&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG42757;"The Countess of Charny; or, The Execution of King Louis XVI";Dumas, Alexandre;;1802.0;1870.0;1893.0;1846;['en'];;40;{'France -- History -- Revolution, 1789-1799 -- Fiction', 'Marie Antoinette, Queen, consort of Louis XVI, King of France, 1755-1793 -- Fiction'};Alexandre+Dumas;Countess+Charny;https://www.worldcat.org/search?q=Alexandre+Dumas+Countess+Charny&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1880;"The Pathfinder; Or, The Inland Sea";Cooper, James Fenimore;;1789.0;1851.0;1840.0;1840;['en'];;179;{'Ontario, Lake (N.Y. and Ont.) -- Fiction', 'Bumppo, Natty (Fictitious character) -- Fiction', 'United States -- History -- French and Indian War, 1754-1763 -- Fiction', 'Love stories', 'Frontier and pioneer life -- Fiction', 'Historical fiction', 'Indians of North America -- Fiction', 'War stories'};James+Cooper;Pathfinder+Inland;https://www.worldcat.org/search?q=James+Cooper+Pathfinder+Inland&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3339;The Wandering Jew — Volume 01;Sue, Eugène;;1804.0;1857.0;1845.0;1845;['en'];1.0;5;{'France -- History -- Louis Philippe, 1830-1848 -- Fiction', 'Wandering Jew -- Fiction', 'Historical fiction', 'Jesuits -- Fiction', 'Inheritance and succession -- Fiction'};Eugène+Sue;Wandering;https://www.worldcat.org/search?q=Eugène+Sue+Wandering&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG2511;The History of Henry Esmond, Esq., a Colonel in the Service of Her Majesty Queen Anne;Thackeray, William Makepeace;;1811.0;1863.0;1800.0;1847;['en'];;143;{'Historical fiction', 'Great Britain -- History -- Anne, 1702-1714 -- Fiction'};William+Thackeray;History+Henry;https://www.worldcat.org/search?q=William+Thackeray+History+Henry&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40712;The White House (Novels of Paul de Kock Volume XII);Kock, Paul de;;1793.0;1871.0;2003.0;1842;['en'];;14;{'French fiction -- 19th century'};Paul+Kock;White+House;https://www.worldcat.org/search?q=Paul+Kock+White+House&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG34819;The Village Notary: A Romance of Hungarian Life;Eötvös, József, báró;;1813.0;1871.0;1849.0;1849;['en'];;16;{'Hungary -- Fiction'};József+Eötvös;Village+Notary;https://www.worldcat.org/search?q=József+Eötvös+Village+Notary&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3340;The Wandering Jew — Volume 02;Sue, Eugène;;1804.0;1857.0;1845.0;1845;['en'];1.0;4;{'France -- History -- Louis Philippe, 1830-1848 -- Fiction', 'Wandering Jew -- Fiction', 'Historical fiction', 'Jesuits -- Fiction', 'Inheritance and succession -- Fiction'};Eugène+Sue;Wandering;https://www.worldcat.org/search?q=Eugène+Sue+Wandering&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4621;"The Two Wives; Or, Lost and Won";Arthur, T. S. (Timothy Shay);;1809.0;1885.0;1993.0;1857;['en'];;3;{'Temperance -- Fiction', 'Married people -- Fiction'};Arthur;Wives+Lost;https://www.worldcat.org/search?q=Arthur+Wives+Lost&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG13878;"The English Orphans; Or, A Home in the New World";Holmes, Mary Jane;;1825.0;1907.0;1855.0;1855;['en'];;20;{'Orphans -- Fiction'};Mary+Holmes;English+Orphans;https://www.worldcat.org/search?q=Mary+Holmes+English+Orphans&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53668;Kate Vernon: A Tale. Vol. 3 (of 3);Alexander, Mrs.;;1825.0;1902.0;1854.0;1854;['en'];;11;{'Fiction'};Mrs+Alexander;Kate+Vernon;https://www.worldcat.org/search?q=Mrs+Alexander+Kate+Vernon&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21823;The Butterfly's Ball and the Grasshopper's Feast;Ballantyne, R. M. (Robert Michael);;1825.0;1894.0;1850.0;1850;['en'];;69;{'Insects -- Juvenile fiction', 'Animals -- Juvenile fiction'};Ballantyne;Butterfly+Ball;https://www.worldcat.org/search?q=Ballantyne+Butterfly+Ball&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26001;The Bertrams;Trollope, Anthony;;1815.0;1882.0;1859.0;1859;['en'];;29;{'England -- Fiction', 'Love stories', 'Scholars -- Fiction'};Anthony+Trollope;Bertrams;https://www.worldcat.org/search?q=Anthony+Trollope+Bertrams&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
