filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
HU18964	HU18964	Jósika Júlia	Családélet	1813	1893	viaf:46218998	Magyar Elektronikus Könyvtárért Egyesület	1862	NA	hu	56940	NA	NA	F	medium	NA	T2
HU05620	HU05620	Kemény Zsigmond	Zord idő	1814	1875	viaf:54141095	Magyar Elektronikus Könyvtárért Egyesület	1862	NA	hu	121526	NA	NA	M	long	NA	T2
HU17999	HU17999	Kánya Emília	Szeretet könyve	1830	1910	30410778	Magyar Elektronikus Könyvtárért Egyesület	1863	NA	hu	60532	NA	NA	F	medium	NA	T2
HU17873	HU17873	 Jósika Júlia	Az élet esélyei: Regény: ELTeC edition 	1813	1893	46218998	Magyar Elektronikus Könyvtárért Egyesület	1864	NA	hu	28349	NA	NA	F	short	NA	T2
HU14745	HU14745	Beniczkyné Bajza Lenke	Két sziv harcza : Regény két kötetben	1839	1905	20466121	Magyar Elektronikus Könyvtárért Egyesület	1866	NA	hu	73249	NA	NA	F	medium	NA	T2
HU17960	HU17960	Virághalmi Ferenc	Egy cserepár naplója	1826	1875	viaf:121507699	Magyar Elektronikus Könyvtárért Egyesület	1866	NA	hu	29457	NA	NA	M	short	NA	T2
HU14664	HU14664	Tolnai Lajos	Életképek	1837	1902	viaf:6903976	Magyar Elektronikus Könyvtárért Egyesület	1867	NA	hu	50764	NA	NA	M	medium	NA	T2
HU16672	HU16672	Kovács József	Egy magyar amazon	1832	1897	viaf:221085154	Magyar Elektronikus Könyvtárért Egyesület	1869	NA	hu	22875	NA	NA	M	short	NA	T2
HU07694	HU07694	Toldy István	Anatole :  Regény 	1844	1879	viaf:56032353	Magyar Elektronikus Könyvtárért Egyesület	1872	NA	hu	47843	NA	NA	M	short	NA	T2
HU17910	HU17910	Jósika Júlia	Konrád	1813	1893	viaf:46218998	Magyar Elektronikus Könyvtárért Egyesület	1872	NA	hu	38707	NA	NA	F	short	NA	T2
HU05573	HU05573	Jókai Mór	És mégis mozog a föld	1825	1904	viaf:59084200	Magyar Elektronikus Könyvtárért Egyesület	1873	NA	hu	285818	NA	NA	M	long	NA	T2
HU07718	HU07718	Beöthy Zsolt	Kálozdy Béla : Regény	1791	1860	viaf:73093732	Magyar Elektronikus Könyvtárért Egyesület	1875	NA	hu	149978	NA	NA	M	long	NA	T2
HU00731	HU00731	Kemény Zsigmond	Szerelem és hiúság	1814	1875	viaf:54141095	Magyar Elektronikus Könyvtárért Egyesület	1876	NA	hu	22783	NA	NA	M	short	NA	T2
HU00726	HU00726	Kazinczy Ferenc	Bácsmegyeinek gyötrelmei	1759	1831	viaf:9867747	Magyar Elektronikus Könyvtárért Egyesület	1878	NA	hu	20772	NA	NA	M	short	NA	T2
HU19000	HU19000	Asbóth János	Álmok álmodója	1845	1911	viaf:31986094	Magyar Elektronikus Könyvtárért Egyesület	1878	NA	hu	38109	NA	NA	M	short	NA	T2
HU14769	HU14769	Beniczkyné Bajza Lenke	Itt és a jövő életben : Regény két kötetben	1839	1905	viaf:20466121	Magyar Elektronikus Könyvtárért Egyesület	1878	NA	hu	61512	NA	NA	F	medium	NA	T2
HU00879	HU00879	Mikes Kelemen	Törökországi levelek : Válogatás	1690	1761	viaf:7410168 	Magyar Elektronikus Könyvtárért Egyesület	1880	NA	hu	11346	NA	NA	M	short	NA	T3
HU14548	HU14548	Ábrányi Kornél	Régi és uj nemesek : Eredeti regény	1849	1913	viaf:57808720	Magyar Elektronikus Könyvtárért Egyesület	1881	NA	hu	58746	NA	NA	M	medium	NA	T3
