id;title;author;gender;year-birth;year-death;year-worldcat;year-ref;language;translation;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG30193;East of the Shadows;Barclay, Hubert, Mrs.;;1872.0;;1913.0;1913;['en'];;3;{'Fiction'};Hubert+Barclay;East+Shadows;https://www.worldcat.org/search?q=Hubert+Barclay+East+Shadows&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG13695;A Love Episode;Zola, Émile;;1840.0;1902.0;1887.0;1887;['en'];1.0;37;{'France -- Social life and customs -- 19th century -- Fiction', 'Women -- Psychology -- Fiction'};Émile+Zola;Love+Episode;https://www.worldcat.org/search?q=Émile+Zola+Love+Episode&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49416;"The Airship Boys' Ocean Flyer; Or, New York to London in Twelve Hours";Sayler, H. L. (Harry Lincoln);;1863.0;1913.0;1909.0;1909;['en'];;14;{'Aeronautics -- Juvenile fiction', 'Mystery and detective stories', 'Airships -- Juvenile fiction'};Sayler;Airship+Boys;https://www.worldcat.org/search?q=Sayler+Airship+Boys&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56563;Her Sailor: A Love Story;Saunders, Marshall;;1861.0;1947.0;1900.0;1900;['en'];;6;{'New England -- Social life and customs -- Fiction', 'Man-woman relationships -- Fiction', 'Transatlantic voyages -- Fiction'};Marshall+Saunders;Sailor+Love;https://www.worldcat.org/search?q=Marshall+Saunders+Sailor+Love&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1099;The Riverman;White, Stewart Edward;;1873.0;1946.0;1901.0;1901;['en'];;34;{'Rivers -- Fiction', 'Youth -- Conduct of life -- Fiction', 'Conduct of life -- Fiction', 'Loggers -- Fiction', 'Labor movement -- Fiction', 'Adventure and adventurers -- Fiction'};Stewart+White;Riverman;https://www.worldcat.org/search?q=Stewart+White+Riverman&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG30312;Carmen Ariza;Stocking, Charles Francis;;1873.0;;1916.0;1916;['en'];;19;{'Religion -- Fiction'};Charles+Stocking;Carmen+Ariza;https://www.worldcat.org/search?q=Charles+Stocking+Carmen+Ariza&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56834;The Polly Page Yacht Club;Forrester, Izola L. (Izola Louise);;1878.0;1944.0;1844.0;1921;['en'];;2;{'Islands -- Juvenile fiction', 'Teenage girls -- Juvenile fiction', 'Yachting -- Juvenile fiction', 'Virginia -- Juvenile fiction', 'Girls -- Societies and clubs -- Juvenile fiction'};Izola+Forrester;Polly+Page;https://www.worldcat.org/search?q=Izola+Forrester+Polly+Page&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG60541;El Ombú;Hudson, W. H. (William Henry);;1841.0;1922.0;1902.0;1902;['en'];;11;{'Pampas (Argentina) -- Fiction', 'Short stories'};Hudson;Ombú;https://www.worldcat.org/search?q=Hudson+Ombú&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44419;The Arch-Satirist;Williams, Frances Fenwick;;1878.0;;1910.0;1910;['en'];;10;{'Self-sacrifice -- Fiction', 'Montréal (Québec) -- Fiction', 'Brothers and sisters -- Fiction'};Frances+Williams;Arch+Satirist;https://www.worldcat.org/search?q=Frances+Williams+Arch+Satirist&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG41804;A Legend of Reading Abbey;MacFarlane, Charles;;1799.0;1858.0;1845.0;1845;['en'];;27;{'Great Britain -- History -- Stephen, 1135-1154 -- Fiction'};Charles+MacFarlane;Legend+Reading;https://www.worldcat.org/search?q=Charles+MacFarlane+Legend+Reading&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG8569;The Far Horizon;Malet, Lucas;;1852.0;1931.0;1906.0;1906;['en'];;14;{'Fiction'};Lucas+Malet;Horizon;https://www.worldcat.org/search?q=Lucas+Malet+Horizon&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6909;Old Caravan Days;Catherwood, Mary Hartwell;;1847.0;1902.0;1880.0;1880;['en'];;12;{'Children -- Conduct of life -- Juvenile fiction', 'Camping -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Wagon trains -- Juvenile fiction', 'Thieves -- Juvenile fiction', 'Outdoor life -- Juvenile fiction', 'Ants -- Juvenile fiction', 'Adventure stories'};Mary+Catherwood;Caravan+Days;https://www.worldcat.org/search?q=Mary+Catherwood+Caravan+Days&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
