;author;title;year;avgsentlen
PG30896;William+Morgan;When+Ghost;1888;19.799357568160453
PG1900;Herman+Melville;Typee+Romance;1865;37.58163811563169
PG46228;William+Morgan;Never+Happen;1888;20.44699664600061
PG1716;Mary+Freeman;Copy+Other;1901;18.738054607508534
PG50899;Will+Harben;Linda;1902;21.975829383886257
PG1088;Ernest+Seton;Rolf+Woods;1911;24.04989346590909
PG33501;Milo+Hastings;Book;1909;24.382131324004305
PG43082;Francis+Gribble;Stromboli+Guns;1914;19.70869297163995
PG3186;Mark+Twain;Mysterious+Stranger;1882;25.028301886792452
PG5444;Georg+Ebers;Uarda+Romance;1877;28.225099601593627
PG14379;Martha+Finley;Elsie+Nantucket;1868;26.75796178343949
PG28426;Lucy+Perkins;Italian+Twins;1911;23.68796992481203
PG1429;Katherine+Mansfield;Garden+Party;1916;15.036223723723724
PG42859;Michael+White;Lachmi+Rani;1901;19.80372250423012
PG498;Kate+Wiggin;Rebecca+Sunnybrook;1903;27.897063099738297
PG48813;Francis+Young;Black+Diamond;1929;18.556790951787598
PG50953;Rose+Macaulay;making+bigot;1900;20.79239956568947
PG58412;Ethel+Eliot;Ariel+Dances;1931;16.35060519515844
PG44914;Georgiana+Craik;;1862;16.97093791281374
PG25490;George+Peck;Peck+Uncle;1886;37.317460317460316
PG10008;Stewart+White;Mystery;1920;15.289197426346089
PG24071;Robert+Chambers;Special+Messenger;1909;21.27202937249666
PG17888;Mary+Freeman;Comfort+Pease;1895;19.494163424124512
PG36511;Fred+White;Weight+Crown;1907;16.191798941798943
PG38504;May+Byron;Robin+Rambles;1913;17.86602870813397
PG28564;Meade;Bunch+Cherries;1894;23.532001158412974
PG2718;Henry+James;Chaperon;1907;25.235772357723576
PG10565;Jacobs;Watch+Dogs;1913;23.45679012345679
PG32566;Bertram+Mitford;Triumph+Hilary;1901;19.668016194331983
PG37244;Charles+King;Kitty+Conquest;1884;24.81095211887727
PG780;Wells;;1916;20.971742021276597
PG12208;Jacobs;Changing+Numbers;1913;19.519867549668874
PG11691;Percival+Wren;Driftwood+Spars;1916;27.264993394980184
